record_id,farmer_id,county,sub_county,farm_area_ha,crop_primary,crop_secondary,rain_mm_gs,eo_ndvi_gs,irrigated,soil_quality_index,input_cost_kes,sales_kes,yield_t_ha,mpesa_txn_count_90d,mpesa_inflow_kes_90d,prior_default,processor_contract,insured,agritech_score,gov_subsidy,loan_amount_kes,tenor_months,interest_rate_pct,climate_risk_index,risk_score_internal,default_or_claim,split
rec_0000012,farmer_0396274,Lamu,,2.069,coffee,maize,1288.2,0.631,False,0.67,69136.0,339913.0,1.618,60,75852.0,False,False,False,0.493,False,102922.0,12,20.45,0.314,0.295,False,train
rec_0000013,farmer_0377061,Samburu,,1.165,coffee,,1321.0,0.638,False,0.495,33896.0,206195.0,2.0,60,100766.0,False,False,True,0.601,False,91108.0,6,11.06,0.415,0.294,False,train
rec_0000014,farmer_0299907,Uasin Gishu,,0.824,millet,sorghum,1292.7,0.459,True,0.315,35240.0,46990.0,1.814,49,86219.0,False,False,False,0.554,False,53399.0,12,15.33,0.781,0.53,False,train
rec_0000015,farmer_1838806,Taita-Taveta,,1.483,rice,maize,1133.2,0.727,True,0.596,76851.0,300797.0,4.432,45,210308.0,False,False,False,0.49,False,94077.0,6,16.69,0.246,0.286,False,train
rec_0000016,farmer_0342582,Kilifi,,3.315,potato,tea,911.2,0.399,True,0.504,128806.0,1264865.0,15.522,61,118520.0,False,True,True,0.5,False,473421.0,18,14.79,0.634,0.142,False,train
rec_0000017,farmer_1379816,Samburu,,1.432,tea,dairy-fodder,1128.8,0.574,False,0.595,58568.0,279021.0,2.629,60,49852.0,False,True,False,0.515,False,88208.0,24,24.29,0.415,0.422,False,train
rec_0000018,farmer_0818168,Kirinyaga,,2.281,maize,maize,780.1,0.575,False,0.636,82552.0,237677.0,2.83,35,174879.0,False,False,True,0.565,False,122551.0,6,20.8,0.163,0.264,False,train
rec_0000019,farmer_0466358,Kirinyaga,,3.512,wheat,,686.1,0.713,False,0.449,129586.0,322134.0,2.537,46,75660.0,False,False,False,0.891,False,144982.0,24,15.8,0.163,0.218,False,train
rec_0000020,farmer_1851686,Lamu,,0.722,tea,,1349.3,0.562,False,0.731,1052.0,156441.0,2.959,62,231099.0,False,True,False,0.529,False,92545.0,12,17.82,0.314,0.371,False,train
rec_0000021,farmer_1792787,Laikipia,,2.503,maize,,1694.8,0.412,True,0.588,99950.0,346425.0,3.625,68,54091.0,False,True,False,0.525,False,88411.0,18,16.93,0.82,0.34,False,train
rec_0000022,farmer_0083210,Mombasa,,3.477,maize,,1632.9,0.708,False,0.513,110213.0,491765.0,3.68,47,151911.0,False,True,False,0.516,False,136990.0,9,14.37,0.12,0.125,False,train
rec_0000023,farmer_0708508,West Pokot,,4.14,rice,,1132.1,0.381,False,0.486,167736.0,721288.0,3.674,72,242678.0,False,False,False,0.444,False,216425.0,24,13.28,0.895,0.321,False,train
rec_0000024,farmer_0580263,Migori,,1.319,potato,,1174.3,0.564,True,0.613,55244.0,766515.0,21.281,71,118218.0,False,True,False,0.538,False,340116.0,3,17.5,0.263,0.171,False,train
rec_0000025,farmer_1395809,Turkana,,1.406,sorghum,,1012.1,0.773,False,0.567,43536.0,98124.0,2.299,47,103126.0,False,True,False,0.546,False,99433.0,18,15.85,0.094,0.294,False,train
rec_0000026,farmer_0384725,Kitui,,1.663,millet,,828.6,0.714,False,0.768,56490.0,93529.0,1.959,52,126795.0,False,False,True,0.629,False,10000,3,20.99,0.052,0.259,False,train
rec_0000027,farmer_0823298,Turkana,,0.74,potato,maize,898.3,0.753,False,0.644,29731.0,372975.0,22.343,48,168418.0,False,False,False,0.441,False,140272.0,9,18.91,0.094,0.339,False,train
rec_0000028,farmer_1780090,Samburu,,2.038,tea,wheat,1393.1,0.673,False,0.651,69329.0,451078.0,2.955,34,60197.0,False,False,False,0.515,False,190623.0,12,20.87,0.415,0.273,False,train
rec_0000029,farmer_1656633,Kirinyaga,,3.54,coffee,,634.5,0.74,False,0.578,109896.0,547206.0,1.831,12,293193.0,False,True,False,0.621,False,263978.0,6,23.01,0.163,0.116,False,train
rec_0000030,farmer_0952492,Narok,,2.081,rice,,1214.5,0.76,False,0.46,69566.0,368637.0,4.5,49,9383.0,False,True,False,0.688,False,223850.0,12,16.42,0.28,0.178,False,train
rec_0000031,farmer_1270977,Nyandarua,,1.734,maize,wheat,1056.5,0.567,False,0.602,62975.0,201842.0,3.677,17,142602.0,False,True,True,0.512,False,71769.0,18,18.58,0.365,0.341,False,train
rec_0000032,farmer_0413856,Homa Bay,,1.515,horticulture,beans,593.3,0.582,False,0.549,35414.0,1481806.0,14.022,58,175805.0,False,True,False,0.748,False,580238.0,24,22.8,0.513,0.138,False,train
rec_0000033,farmer_0398745,Isiolo,,1.255,horticulture,beans,582.0,0.665,False,0.479,38278.0,1014446.0,12.559,33,0,False,True,False,0.448,False,369636.0,18,28.0,0.33,0.229,False,train
rec_0000034,farmer_0751647,Mombasa,,5.332,tea,sugarcane,1443.2,0.811,True,0.569,195943.0,1260930.0,3.0,47,222007.0,False,False,True,0.77,False,504895.0,3,17.78,0.12,0.05,False,test
rec_0000035,farmer_0907690,Kisii,,1.912,maize,potato,624.6,0.724,False,0.622,70452.0,232940.0,3.306,66,206009.0,False,False,False,0.758,False,103784.0,12,23.21,0.307,0.279,False,train
rec_0000036,farmer_0507413,Migori,,2.008,maize,,1220.6,0.63,False,0.475,71315.0,290591.0,4.0,44,33944.0,False,True,False,0.654,False,137173.0,24,20.31,0.263,0.302,False,train
rec_0000037,farmer_0501577,Kajiado,,0.357,sorghum,,1612.0,0.505,False,0.58,11744.0,20574.0,2.062,23,19819.0,False,True,False,0.396,False,10000,18,19.75,0.736,0.618,True,train
rec_0000038,farmer_1360765,Marsabit,,1.569,maize,,1494.2,0.732,False,0.657,55766.0,156490.0,3.204,48,150015.0,False,False,False,0.585,False,112049.0,12,16.54,0.018,0.29,False,train
rec_0000039,farmer_1589362,Tharaka-Nithi,,2.256,maize,,712.9,0.708,False,0.571,83397.0,250420.0,3.56,29,120551.0,False,True,False,0.69,False,151147.0,3,12.99,0.193,0.15,False,train
rec_0000040,farmer_0278659,Kakamega,,1.735,rice,,927.7,0.339,False,0.521,52462.0,272691.0,3.703,36,0,False,False,False,0.54,False,90756.0,18,21.28,0.958,0.493,True,train
rec_0000041,farmer_0476071,Marsabit,,2.495,rice,,1139.4,0.794,False,0.627,93649.0,561730.0,4.5,55,189002.0,False,False,False,0.729,True,274292.0,24,17.01,0.018,0.208,False,train
rec_0000042,farmer_1500234,Homa Bay,,1.896,rice,,675.4,0.562,False,0.504,72960.0,294578.0,3.04,68,146043.0,False,False,False,0.639,False,94318.0,12,19.4,0.513,0.325,False,train
rec_0000043,farmer_0299205,Wajir,,1.754,maize,maize,654.7,0.457,True,0.56,76562.0,163863.0,2.995,87,114623.0,False,True,False,0.433,False,62443.0,24,14.86,0.801,0.468,False,train
rec_0000044,farmer_1083044,Nandi,,0.491,wheat,maize,1060.4,0.587,False,0.542,44869.0,44061.0,2.546,18,191895.0,False,False,False,0.663,False,92854.0,18,20.83,0.714,0.61,False,train
rec_0000045,farmer_1344347,Trans Nzoia,,1.553,maize,,1363.5,0.718,False,0.499,54015.0,230490.0,4.0,42,7582.0,False,False,True,0.539,False,137947.0,18,13.95,0.212,0.328,False,train
rec_0000046,farmer_1853855,Kisii,,2.429,horticulture,,751.8,0.666,False,0.674,79554.0,2974447.0,16.368,29,203415.0,False,False,False,0.71,False,1029415.0,18,14.69,0.307,0.023,False,train
rec_0000047,farmer_0921188,Nakuru,,4.526,wheat,maize,614.0,0.487,False,0.717,143696.0,437071.0,2.749,63,83786.0,False,False,False,0.686,False,123395.0,24,14.47,0.949,0.289,False,test
rec_0000048,farmer_1099834,Migori,,0.773,coffee,,1591.9,0.669,True,0.623,52062.0,124325.0,1.933,74,63816.0,False,False,False,0.535,True,138635.0,24,13.86,0.263,0.516,True,train
rec_0000049,farmer_1294434,Trans Nzoia,,1.494,rice,millet,1199.5,0.819,False,0.677,34115.0,318781.0,4.5,42,154639.0,False,False,True,0.67,False,162854.0,3,11.86,0.212,0.176,False,train
rec_0000050,farmer_0964105,Mombasa,,2.319,coffee,,1237.2,0.873,False,0.614,81001.0,451990.0,1.897,45,184571.0,False,False,False,0.649,False,141730.0,3,10.79,0.12,0.127,False,train
rec_0000051,farmer_1870394,Isiolo,,0.855,sorghum,,717.8,0.576,True,0.619,15708.0,52280.0,1.685,2,133200.0,False,False,False,0.42,True,105439.0,18,8.86,0.33,0.468,False,test
rec_0000052,farmer_0158676,Siaya,,1.169,sorghum,,657.7,0.479,False,0.572,51460.0,50252.0,1.384,66,156517.0,False,True,True,0.347,True,50644.0,24,23.24,0.689,0.584,False,test
rec_0000053,farmer_1739215,Embu,,1.103,maize,,733.3,0.526,False,0.561,39212.0,90685.0,2.282,0,67828.0,False,False,False,0.578,False,41650.0,6,15.82,0.567,0.397,False,train
rec_0000054,farmer_1628009,Kisumu,,1.206,maize,rice,866.9,0.495,True,0.449,36690.0,106022.0,2.872,62,284813.0,False,True,False,0.554,False,66731.0,6,13.35,0.467,0.313,False,train
rec_0000055,farmer_1133356,Meru,,2.12,horticulture,millet,1147.3,0.582,True,0.432,65895.0,1865140.0,13.71,22,115263.0,False,False,False,0.637,False,667450.0,3,21.1,0.49,0.065,False,train
rec_0000056,farmer_0566953,Tana River,,2.629,maize,maize,890.2,0.707,False,0.549,86737.0,241518.0,3.04,85,58907.0,False,True,False,0.614,False,69808.0,3,19.06,0.129,0.156,False,train
rec_0000057,farmer_1915443,Uasin Gishu,,1.572,beans,,1462.3,0.467,False,0.481,44146.0,154812.0,1.734,39,13980.0,False,False,False,0.43,False,109515.0,18,17.56,0.781,0.487,False,train
rec_0000058,farmer_1915873,Homa Bay,,2.417,beans,,766.7,0.442,False,0.67,73296.0,175785.0,1.123,71,77218.0,False,True,False,0.397,True,70593.0,9,19.51,0.513,0.304,False,train
rec_0000059,farmer_1096858,Nakuru,,1.292,maize,,451.7,0.532,False,0.517,46271.0,101752.0,2.145,52,259951.0,False,True,False,0.782,False,10000,3,17.19,0.949,0.304,False,test
rec_0000060,farmer_0140635,Isiolo,,0.607,maize,,724.4,0.642,False,0.736,9590.0,76426.0,3.212,47,130057.0,False,True,False,0.663,False,40527.0,24,17.06,0.33,0.456,False,train
rec_0000061,farmer_1015177,Kwale,,1.704,tea,,1165.1,0.653,False,0.549,71583.0,324525.0,2.738,79,140644.0,False,False,False,0.325,False,105968.0,18,15.6,0.136,0.36,False,train
rec_0000062,farmer_0851988,Kirinyaga,,1.821,maize,,711.4,0.77,False,0.635,66979.0,188585.0,3.406,8,116542.0,False,False,False,0.47,False,137001.0,3,15.83,0.163,0.238,False,train
rec_0000063,farmer_1587423,Nairobi,,0.718,beans,,779.7,0.795,False,0.626,34263.0,76727.0,1.699,53,129350.0,False,False,False,0.655,False,27632.0,24,10.26,0.247,0.444,True,train
rec_0000064,farmer_0612697,Meru,,1.622,maize,maize,863.0,0.572,False,0.529,56640.0,188050.0,2.992,33,51124.0,False,False,True,0.518,False,117529.0,6,14.18,0.49,0.317,False,train
rec_0000065,farmer_0746800,Makueni,,0.726,dairy-fodder,maize,849.7,0.406,True,0.538,22808.0,243160.0,12.816,39,150470.0,False,True,False,0.463,False,60569.0,9,25.52,0.654,0.47,False,train
rec_0000066,farmer_0769297,Vihiga,,0.634,maize,sorghum,503.3,0.466,False,0.463,23366.0,57518.0,2.693,32,92212.0,False,False,False,0.609,False,10000,9,16.49,0.855,0.527,False,train
rec_0000067,farmer_0826354,Nairobi,,0.877,sorghum,,1221.8,0.705,False,0.606,35907.0,73233.0,2.378,75,197713.0,False,False,False,0.775,True,119433.0,6,15.82,0.247,0.323,False,train
rec_0000068,farmer_0073156,Migori,,1.615,sugarcane,,1456.9,0.625,False,0.595,45943.0,512162.0,74.892,16,156417.0,False,True,True,0.524,False,247759.0,24,15.25,0.263,0.272,False,train
rec_0000069,farmer_1379955,Laikipia,,4.484,beans,,1590.0,0.44,False,0.355,148679.0,353144.0,1.527,0,205202.0,False,False,False,0.514,False,189579.0,12,17.18,0.82,0.279,False,test
rec_0000070,farmer_1631614,West Pokot,,3.774,coffee,,969.9,0.322,False,0.672,108154.0,385231.0,1.119,39,47647.0,False,True,False,0.397,False,183773.0,9,23.55,0.895,0.28,False,train
rec_0000071,farmer_0181049,Busia,,4.187,dairy-fodder,,560.2,0.62,True,0.425,144434.0,1300712.0,11.517,63,0,False,False,True,0.627,False,490894.0,18,18.39,0.693,0.122,False,train
rec_0000072,farmer_0781172,Kajiado,,0.596,maize,maize,1340.8,0.481,True,0.462,12990.0,59747.0,3.24,49,93280.0,True,False,False,0.626,False,74343.0,24,17.51,0.736,0.798,True,test
rec_0000073,farmer_0424330,Narok,,3.821,potato,,1132.6,0.708,False,0.66,129536.0,2564982.0,23.919,40,224284.0,False,False,False,0.702,True,942272.0,12,15.3,0.28,0.023,False,train
rec_0000074,farmer_1189862,Samburu,,1.156,wheat,,1114.4,0.615,False,0.587,39391.0,122880.0,2.815,22,143978.0,False,False,False,0.759,False,15138.0,9,19.4,0.415,0.351,False,train
rec_0000075,farmer_0489400,Wajir,,2.445,wheat,maize,623.3,0.375,False,0.556,105222.0,226148.0,2.163,56,122215.0,False,False,False,0.33,False,142579.0,6,16.04,0.801,0.394,False,train
rec_0000076,farmer_0886816,Nairobi,,0.497,maize,millet,1056.7,0.735,False,0.641,18111.0,55972.0,3.121,24,0,False,True,True,0.41,False,46858.0,24,19.56,0.247,0.522,False,test
rec_0000077,farmer_0813164,Samburu,,1.011,horticulture,beans,1108.0,0.656,False,0.47,37986.0,1157752.0,17.634,0,269230.0,False,False,False,0.666,False,515216.0,6,15.37,0.415,0.154,False,train
rec_0000078,farmer_1961169,Kilifi,,2.024,sugarcane,,795.5,0.521,False,0.643,55168.0,554390.0,62.203,49,96287.0,False,False,False,0.511,False,190138.0,18,17.52,0.634,0.314,False,train
rec_0000079,farmer_1780913,Kitui,,1.437,potato,,981.3,0.788,False,0.591,47755.0,670553.0,20.928,20,187929.0,False,False,False,0.641,False,226542.0,18,21.32,0.052,0.232,False,train
rec_0000080,farmer_0725868,Busia,,2.285,maize,,553.4,0.337,False,0.535,89479.0,161982.0,2.193,21,98102.0,False,False,True,0.356,False,120014.0,18,13.83,0.693,0.476,False,train
rec_0000081,farmer_0132475,Kwale,,1.08,rice,,1165.4,0.657,False,0.425,46329.0,230593.0,4.402,40,26327.0,False,True,False,0.472,True,118351.0,18,10.09,0.136,0.321,False,train
rec_0000082,farmer_0804605,Busia,,1.302,rice,,653.5,0.418,False,0.62,24895.0,160382.0,2.893,36,162069.0,False,False,False,0.371,False,129858.0,6,12.29,0.693,0.402,True,train
rec_0000083,farmer_0472413,Turkana,,1.144,maize,,663.7,0.617,False,0.556,36889.0,115450.0,2.557,11,238861.0,True,True,False,0.555,False,81263.0,24,26.63,0.094,0.658,False,train
rec_0000084,farmer_1173895,Garissa,,1.098,sorghum,wheat,935.2,0.283,False,0.526,57860.0,58836.0,1.463,49,223983.0,False,False,True,0.612,False,54417.0,12,13.2,0.91,0.542,False,train
rec_0000085,farmer_0057548,Kilifi,,5.101,sugarcane,,1175.7,0.539,False,0.573,179012.0,1435494.0,74.168,87,231290.0,False,True,True,0.694,False,506735.0,3,11.92,0.634,0.049,False,train
rec_0000086,farmer_0327500,Marsabit,,1.325,maize,,1033.5,0.804,True,0.515,63040.0,177683.0,3.744,67,117997.0,False,False,False,0.798,True,141696.0,6,14.12,0.018,0.225,False,test
rec_0000087,farmer_0300932,Wajir,,2.842,tea,,625.7,0.473,False,0.718,101712.0,508061.0,2.362,35,253589.0,False,False,False,0.471,False,195076.0,12,18.37,0.801,0.3,False,train
rec_0000088,farmer_1966229,Kericho,,2.346,maize,,1158.8,0.479,False,0.468,74445.0,224937.0,3.078,71,1931.0,False,False,True,0.655,True,107473.0,3,19.6,0.62,0.275,False,train
rec_0000089,farmer_0786054,Isiolo,,1.223,rice,sugarcane,537.6,0.477,True,0.64,41920.0,161695.0,3.068,34,109930.0,False,True,False,0.4,False,106164.0,9,21.58,0.33,0.379,False,train
rec_0000090,farmer_0770750,Bungoma,,2.049,wheat,beans,819.3,0.536,False,0.781,76922.0,168523.0,2.369,30,67358.0,False,False,True,0.713,False,139110.0,24,19.78,0.753,0.443,False,train
rec_0000091,farmer_0583082,Taita-Taveta,,0.75,tea,coffee,1021.1,0.875,False,0.736,33381.0,171558.0,2.88,94,29214.0,False,False,False,0.722,False,10000,24,16.35,0.246,0.412,False,test
rec_0000092,farmer_1923294,Uasin Gishu,,2.367,maize,,1322.2,0.299,True,0.475,70969.0,280949.0,3.513,63,122172.0,False,False,False,0.405,False,217096.0,9,21.86,0.781,0.405,False,train
rec_0000093,farmer_1553309,Trans Nzoia,,2.246,tea,,1115.2,0.694,False,0.728,64730.0,404891.0,2.502,34,132242.0,False,True,False,0.614,False,195997.0,18,18.26,0.212,0.208,False,test
rec_0000094,farmer_1611196,West Pokot,,1.34,wheat,,1037.3,0.367,False,0.549,40235.0,138080.0,2.613,0,236616.0,True,True,True,0.627,False,99795.0,6,15.49,0.895,0.576,False,train
rec_0000095,farmer_1826878,Nyandarua,,1.293,potato,,949.2,0.52,False,0.623,56447.0,618065.0,22.283,41,100048.0,False,True,False,0.684,True,281175.0,24,16.34,0.365,0.299,False,train
rec_0000096,farmer_1938642,Narok,,1.198,dairy-fodder,horticulture,1007.2,0.518,False,0.693,47984.0,582333.0,17.079,47,202546.0,False,False,False,0.425,False,256632.0,24,16.15,0.28,0.406,False,test
rec_0000097,farmer_1299028,Narok,,2.483,horticulture,,1112.9,0.696,False,0.574,78928.0,3182270.0,17.332,37,188511.0,False,True,False,0.58,False,1161055.0,12,19.25,0.28,0.014,False,train
rec_0000098,farmer_0288112,Kwale,,1.531,maize,,1239.9,0.66,False,0.501,67237.0,203610.0,3.882,23,154193.0,False,True,False,0.549,False,89225.0,24,20.13,0.136,0.363,False,train
rec_0000099,farmer_1990070,Kilifi,,1.671,maize,,841.6,0.504,True,0.637,39920.0,152246.0,2.693,51,144138.0,False,False,True,0.739,False,56630.0,12,15.11,0.634,0.336,False,train
rec_0000100,farmer_0466058,Kericho,,5.94,sugarcane,,1026.1,0.558,False,0.649,194254.0,1312960.0,64.83,64,104206.0,False,False,False,0.774,False,496493.0,6,18.21,0.62,0.071,False,train
rec_0000101,farmer_0188298,Siaya,,1.276,maize,,520.4,0.495,False,0.597,50906.0,56910.0,1.444,38,193166.0,False,False,False,0.774,False,64647.0,24,13.0,0.689,0.49,False,train
rec_0000102,farmer_0561397,Tharaka-Nithi,,2.511,maize,,696.7,0.783,False,0.58,89345.0,304250.0,3.661,47,186166.0,False,True,False,0.565,False,160592.0,3,17.94,0.193,0.15,False,train
rec_0000103,farmer_0566122,Meru,,2.217,rice,maize,966.1,0.513,False,0.544,87406.0,292465.0,3.386,40,56816.0,False,True,False,0.624,False,117409.0,3,16.06,0.49,0.211,False,train
rec_0000104,farmer_0123088,Kiambu,,1.421,maize,,596.4,0.283,False,0.517,61490.0,108588.0,2.477,43,43324.0,False,False,False,0.321,False,122048.0,12,21.62,0.947,0.593,False,train
rec_0000105,farmer_0878966,Kisii,,3.415,wheat,beans,698.1,0.791,False,0.661,116890.0,387148.0,2.613,55,174075.0,False,False,False,0.603,False,150970.0,6,23.88,0.307,0.18,False,train
rec_0000106,farmer_0079837,Lamu,,2.166,rice,maize,1343.2,0.681,False,0.598,94459.0,414450.0,4.5,40,194435.0,False,False,True,0.68,False,168631.0,12,12.21,0.314,0.224,False,train
rec_0000107,farmer_0360893,Elgeyo-Marakwet,,0.715,potato,,1110.5,0.657,True,0.342,24536.0,441415.0,25.0,68,46529.0,False,False,False,0.602,False,176821.0,18,18.67,0.467,0.41,False,train
rec_0000108,farmer_0709330,Kitui,,2.306,coffee,,509.7,0.678,False,0.579,85974.0,289448.0,1.416,34,0,True,True,False,0.514,False,132248.0,12,19.47,0.052,0.406,True,train
rec_0000109,farmer_0375905,Murang'a,,0.475,potato,rice,727.5,0.483,False,0.4,21786.0,213996.0,20.149,13,117293.0,False,False,False,0.501,False,114999.0,12,21.07,0.827,0.576,False,test
rec_0000110,farmer_0632075,Laikipia,,0.843,sugarcane,,1708.7,0.409,False,0.643,28488.0,222010.0,75.572,40,227735.0,True,False,True,0.676,False,114340.0,24,18.59,0.82,0.766,False,test
rec_0000111,farmer_0613414,Embu,,2.509,tea,,648.3,0.486,False,0.485,86847.0,387781.0,1.832,44,255708.0,False,True,False,0.618,False,130204.0,6,22.21,0.567,0.222,True,train
rec_0000112,farmer_0437001,Kwale,,2.37,maize,maize,1124.9,0.763,False,0.603,88826.0,320472.0,3.693,22,116265.0,False,True,False,0.697,False,88214.0,18,14.96,0.136,0.192,False,train
rec_0000113,farmer_1362775,Nyeri,,2.489,coffee,,1181.0,0.66,False,0.597,81575.0,394197.0,1.793,0,189579.0,False,False,True,0.53,False,141093.0,12,16.84,0.26,0.235,False,train
rec_0000114,farmer_0498941,Kwale,,1.21,maize,,1161.0,0.698,False,0.701,37625.0,168103.0,4.0,42,103233.0,False,True,False,0.778,False,99255.0,3,16.12,0.136,0.198,False,train
rec_0000115,farmer_1543259,Isiolo,,0.847,coffee,maize,671.9,0.65,True,0.681,21451.0,128446.0,1.561,82,49519.0,False,False,False,0.766,False,69196.0,24,15.57,0.33,0.446,False,train
rec_0000116,farmer_1256388,Kwale,,1.286,potato,,1181.4,0.677,False,0.607,41760.0,669224.0,23.992,53,170733.0,False,False,False,0.531,False,222806.0,12,22.18,0.136,0.256,False,train
rec_0000117,farmer_0864363,Migori,,1.34,horticulture,,1285.2,0.588,False,0.549,47113.0,1754900.0,17.704,62,14370.0,True,False,False,0.56,False,627512.0,24,21.28,0.263,0.307,False,train
rec_0000118,farmer_0210933,Lamu,,2.369,millet,,715.7,0.737,True,0.644,79704.0,102797.0,1.431,88,65698.0,False,False,False,0.531,False,34751.0,9,21.84,0.314,0.289,False,train
rec_0000119,farmer_1840884,Bungoma,,3.309,tea,sorghum,1005.8,0.454,False,0.449,119026.0,678053.0,2.552,37,149095.0,False,False,False,0.596,False,173396.0,3,19.74,0.753,0.194,False,train
rec_0000120,farmer_1651712,Bomet,,1.784,maize,coffee,1010.2,0.741,False,0.649,57362.0,207258.0,3.084,24,199259.0,False,False,True,0.627,False,91155.0,18,19.24,0.28,0.321,False,train
rec_0000121,farmer_1180331,Kakamega,,1.595,rice,sorghum,677.4,0.316,True,0.698,56739.0,185628.0,2.975,49,101188.0,False,True,False,0.747,False,91011.0,6,24.46,0.958,0.368,False,test
rec_0000122,farmer_0182518,Makueni,,4.23,potato,,950.8,0.537,False,0.609,154984.0,1898108.0,20.491,54,117407.0,False,False,False,0.394,False,741058.0,6,17.6,0.654,0.066,False,test
rec_0000123,farmer_0933327,Marsabit,,4.951,horticulture,,1257.2,0.614,False,0.717,165292.0,5321169.0,16.036,30,66998.0,False,True,True,0.764,False,1907549.0,9,17.05,0.018,0.001,False,train
rec_0000124,farmer_0377087,Baringo,,0.878,maize,horticulture,1015.4,0.583,False,0.392,21624.0,118258.0,3.615,58,233470.0,False,True,False,0.543,True,25192.0,12,23.43,0.155,0.379,False,train
rec_0000125,farmer_1496294,Kitui,,1.967,wheat,,631.8,0.745,False,0.522,63344.0,187711.0,2.858,57,141858.0,False,False,False,0.445,False,137781.0,6,16.72,0.052,0.244,False,train
rec_0000126,farmer_0773827,Vihiga,,0.763,sugarcane,,444.6,0.446,False,0.357,28329.0,186785.0,55.871,36,80166.0,False,True,False,0.561,False,87790.0,24,17.26,0.855,0.542,False,test
rec_0000127,farmer_0777977,Kisumu,,0.722,tea,,828.6,0.614,False,0.419,22372.0,162161.0,2.701,24,101166.0,False,False,False,0.675,False,110810.0,6,21.54,0.467,0.4,False,train
rec_0000128,farmer_0446312,Siaya,,0.943,coffee,,623.3,0.46,False,0.383,40524.0,123706.0,1.414,90,134498.0,False,True,False,0.396,False,57294.0,3,19.79,0.689,0.414,False,test
rec_0000129,farmer_1807497,Kilifi,,1.647,maize,,907.6,0.591,False,0.596,61038.0,181068.0,2.885,47,210657.0,False,True,False,0.685,False,58845.0,9,23.7,0.634,0.305,False,train
rec_0000130,farmer_1155105,Homa Bay,,1.893,sorghum,,589.6,0.488,False,0.674,66096.0,94676.0,1.426,40,60786.0,False,False,True,0.525,False,68269.0,18,15.13,0.513,0.425,False,train
rec_0000131,farmer_1210676,Nyamira,,2.455,maize,,506.7,0.308,False,0.45,64193.0,203846.0,2.327,60,0,False,False,False,0.447,False,135618.0,3,16.11,0.966,0.349,False,test
rec_0000132,farmer_0559774,Nyeri,,0.895,millet,,1153.6,0.655,False,0.616,38632.0,60450.0,2.0,27,125571.0,False,False,False,0.652,False,34831.0,18,18.27,0.26,0.456,False,test
